question,table,llm_answer,true_answer,correctness
who has a larger amount of championships as a plk medalist?," Season                    Champion                    Runner-up Score                Third place
1995–96          Śląsk Eska Wrocław   Browary Tyskie Bobry Bytom   4–2           Polonia Przemyśl
1996–97 Mazowszanka PEKAES Pruszków Spójnia Stargard Szczeciński   4–0 Browary Tyskie Bobry Bytom
1997–98        Zepter Śląsk Wrocław              PEKAES Pruszków   4–3       Ericsson Bobry Bytom","SKIPPED: Prokom Trefl Sopot has the largest number of PLK championships in the table, with 5 titles.",Prokom Trefl Sopot,correct
tell me the transmitter directly above the one with a kw of 0.04 and a bbca of 22.,"Transmitter    kW BBCA BBCB D3&4 SDN ARQA ARQB Pol.  A.G.
 Allenheads 0.002   27   21   24 N/A  N/A  N/A    V   A K
     Alston  0.08   39   45   42 N/A  N/A  N/A    V B E K
 Bellingham  0.01   27   21   24 N/A  N/A  N/A    V   A K",SKIPPED: Seaham,Seaham,correct
how many consecutive numbers are listed?,"#        Date                 Visitor Score               Home Record Pts
1 December 27                 Toronto   7–1 Montreal Canadiens  1–0–0   2
2 December 30         Quebec Bulldogs   5–8            Toronto  2–0–0   4
3   January 3 Toronto 228th Battalion   4–9            Toronto  2–1–0   4",SKIPPED: There are 10 consecutive numbers listed in the table.,10,correct
what is the number of different races that brazil has won?,"         Date                Race Name  Location UCI Rating                   Winner                                    Team
    6 January Copa América de Ciclismo    Brazil        1.2 Francisco Chamorro (ARG) Funvic Brasilinvest-São José dos Campos
11–20 January        Vuelta al Táchira Venezuela        2.2     Yeison Delgado (VEN)                  Kino Táchira-Drodínica
21–27 January         Tour de San Luis Argentina        2.1        Daniel Díaz (ARG)                    San Luis Somos Todos","SKIPPED: Based on the dataset, there are no winners whose nationality is listed as Brazil (no “(BRA)” code appears in the Winner column).  
Therefore, Brazil has won 0 different races in this table.",0,correct
what was the name of the mission previous to cosmos 300?,"      Launch date Operator              Name Sample origin Samples returned Recovery date                       Mission result
    June 14, 1969          Luna E-8-5 No.402      The Moon             None             -              Failure\nLaunch failure
    July 13, 1969                    Luna 15      The Moon             None             -    Failure\nCrash-landed on the Moon
23 September 1969                 Cosmos 300      The Moon             None             - Failure\nFailed to leave Earth orbit",SKIPPED: The mission launched immediately before Cosmos 300 was Luna 15.,Luna 15,correct
which year was rosi mittermaier's last season?,"Season Age Overall Slalom Giant\nSlalom  Super G Downhill     Combined
  1967  16      27     19             — not\nrun        — not\nawarded
  1968  17      12     11             8 not\nrun        — not\nawarded
  1969  18       7      4            11 not\nrun        5 not\nawarded",SKIPPED: Rosi Mittermaier’s last World Cup season was in 1976.,1976,correct
the only flight on november 27th,"           Flight             Date Payload nickname                                Payload Orbit  Result
TF1 (Test Flight) February 4, 1994           Ryūsei     OREX (Orbital Re-entry Experiment)   LEO Success
TF1 (Test Flight) February 4, 1994            Myōjō       VEP (Vehicle Evaluation Payload)   GTO Success
              TF2  August 28, 1994           Kiku 6 ETS-VI (Engineering Test Satellite-VI)   GEO Success","SKIPPED: The only H-IIA flight that took place on November 27 was Flight F6, launched on 27 November 1997.",F6,correct
how many teams did they not lose to?," Opponent Played Won Lost Drawn % Won Overall
Australia      4   4    0     0          100%
   Canada     21  19    2     0        90.48%
   France     34  24   10     0        70.59%",SKIPPED: They avoided defeat against 9 different teams.,9,correct
what is the difference in position from the year 2007 and 2008?,"Season  Level   Division        Section Position Movements
  1985 Tier 4 Division 3 Norra Norrland      5th          
  1986 Tier 4 Division 3 Norra Norrland      4th  Promoted
  1987 Tier 3 Division 2          Norra      5th          ","SKIPPED: The team finished 10th in 2007 and 12th in 2008, a drop of 2 positions.",2,wrong
how long did cap anson play?,"                    Player  Career                                  Nickname      Team Inducted As
                Hank Aaron 1954–76 ""Hammer"", ""Hammerin’ Hank"" or ""Bad Henry""      Milwaukee Braves
Grover Cleveland Alexander 1911–30                                ""Old Pete"" Philadelphia Phillies
            Roberto Alomar 1988–04                                  ""Robbie""     Toronto Blue Jays","SKIPPED: Cap Anson’s playing career ran from 1871 through 1897, covering 27 seasons (26 years between his first and last seasons, inclusive).",26 years,wrong
on which date did the home team member not score?,"            Date Home team Score       Away team                               Notes
17 December 2007    Foolad   4-4 Esteghlal Ahvaz    Foolad progress 8-7 on penalties
21 December 2007  Rah Ahan   2-2      Steel Azin  Rah Ahan progress 5-2 on penalties
21 December 2007  Zob Ahan   1-1       Esteghlal Esteghlal progress 3-1 on penalties",SKIPPED: The only match in which the home team failed to score was played on 4 March 2008.,4 March 2008,wrong
"which track is longer? ""ny weather report"" or ""country cousins""?","#                                  Title Time                                              Performer(s)                                                        Songwriters Producer(s)            Samples and notes
1                       ""Everything Man"" 3:16    Talib Kweli, Res\n(additional vocals by Sonia Sanchez)                                                 Talib Kweli Greene      Madlib ""Everything Man"" by Daybreak
2                    ""NY Weather Report"" 4:35 Talib Kweli\n(scratches by DJ Jazzy Jeff and Cut Chemist)                                                 Talib Kweli Greene  Nick Speed       ""Storm"" by Cut Chemist
3 ""Hostile Gospel (Part 1) (Deliver Us)"" 5:22                                               Talib Kweli Talib Kweli Greene,\nJustin Smith,\nPaul Greedus,\nDidier Marouani  Just Blaze       ""Deliverance"" by Space","SKIPPED: “NY Weather Report” is longer. Its duration is 4 minutes 35 seconds, whereas “Country Cousins” runs 4 minutes 31 seconds.","""NY Weather Report""",wrong
total number of parties who lost seats in the argentine chamber of deputies in the legislative election of 1930," Party/Electoral Alliance Seats Change   Votes     %
Radical Civic Union (UCR)    98      6 618,411 42.7%
    Independent Socialist    15      9 110,792  7.7%
             Conservative    12      2 153,826 10.6%","SKIPPED: ERROR: Workflow failed: Recursion limit of 15 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://pyth...",6,wrong
what is the total number of racers who finished under 6:00.00?,"Rank                    Athlete    Time Notes  Q
   1       Habtamu Fayisa (ETH) 5:38.62    PB FA
   2 Peter Matheka Mutuku (KEN) 5:38.72    PB FA
   3    Zakaria Kiprotich (UGA) 5:44.51    PB FA",SKIPPED: 6,6,wrong
tell me the number of laps completed by jj lehto.,"Pos No           Driver                Team Laps Time/Retired Grid Points
  1  6 Michael Andretti  Newman-Haas Racing  150  1:33:39.268    8   20+1
  2 99       Greg Moore     Forsythe Racing  150       +0.075    1   16+1
  3  1     Alex Zanardi Chip Ganassi Racing  150       +0.918    6     14",SKIPPED: JJ Lehto completed 149 laps.,149,wrong
which artist scored the most points?,"Draw       Artist                     Song Points Place
   1 The Memories ""If It Means Losing You""     57   8th
   2    Ann Breen            ""Oh, Darling""     80   4th
   3    Fran Meen   ""Say That You Love Me""     66   6th",SKIPPED: Liam Reilly scored the most points.,Liam Reilly,wrong
"how many total fights took place in mexico city, mexico?","Wager           Winner            Loser            Location               Date
 Hair       Mocho Cota Chamaco Valaguez Cuernavaca, Morelos            Unknown
 Hair         Satánico       Mocho Cota Mexico City, Mexico September 26, 1980
 Hair Chamaco Valaguez       Mocho Cota Cuernavaca, Morelos      July 29, 1982","SKIPPED: There were 9 total fights that took place in Mexico City, Mexico.",9,wrong
the first win by the ottawa senators in the first half of the regular season was to...,"#        Date         Visitor Score               Home Record Pts
1 December 21 Ottawa Senators   5–2 Montreal Canadiens  1–0–0   2
2 December 26  Toronto Arenas   2–5    Ottawa Senators  2–0–0   4
3 December 31 Ottawa Senators   2–4     Toronto Arenas  2–1–0   4",SKIPPED: The Ottawa Senators’ first victory in the first half of the regular season came against the Montreal Canadiens.,Montreal Canadiens,wrong
how many groups have more than 32 total seats?,"Governorate Percentage Seats Won Total Seats
   al-Anbar          -         0          29
      Babil       8.2%         5          30
    Baghdad       5.4%         3          57",SKIPPED: 3 groups have more than 32 total seats.,3,wrong
which names are not in group a?,"Rank Group            Name    Nationality 2.05 2.15 2.19 2.23 2.26 Result Notes
   1     A   Nicola Ciotti          Italy    -    o    o    o    o   2.26     q
   1     A Linus Thörnblad         Sweden    -    o    o    o    o   2.26     q
   1     A     Tomáš Janků Czech Republic    -    o    o    o    o   2.26     q","SKIPPED: Names that are not in group A:

Oskari Frösén  
Stefan Holm  
Svatoslav Ton  
Yaroslav Rybakov  
Giulio Ciotti  
Wilbert Pennings  
Peter Horák  
Normunds Pūpols  
Rožle Prezelj  
Andriy Sokolovskyy  ...","Oskari Frösén, Stefan Holm, Svatoslav Ton, Yaroslav Rybakov, Giulio Ciotti, Wilbert Pennings, Peter Horák, Normunds Pūpols, Rožle Prezelj, Andriy Sokolovskyy, Mickaël Hanany, Javier Bermejo, Adam Scarr",wrong
what is the last iec world plugs type in the list?,"IEC\nWorld Plugs\nType1              Standard Power\nrating Earthed Polarised Fused Insulated\npins Europlug\nCompatible
                      A NEMA 1-15 unpolarised    15 A/125 V      No        No    No              No                   No
                      A   NEMA 1-15 polarised    15 A/125 V      No       Yes    No              No                   No
                      A  JIS C 8303, Class II    15 A/100 V      No        No    No              No                   No",SKIPPED: The last IEC World Plugs type listed in the table is type N.,N,wrong
how many days after september 3rd did brian perform in stockholm?,"      Date   City            Venue        Member                                        Performance                                                                 Notes
15 January Dublin      RTÉ Studios Brian & Roger (1) ""We Will Rock You""\n(2) ""We Are the Champions""                                                    The Late Late Show
31 January Dublin           The O2         Brian                            (1) ""Bohemian Rhapsody"" Matinee and Evening performances. Roger attended but did not perform.
    10 May London Dominion Theatre Brian & Roger                            (1) ""Bohemian Rhapsody""                                                      8th anniversary.","SKIPPED: Brian performed in Stockholm on 12 September, which is 9 days after 3 September.",9,correct
which party had the most members in the 10th canadian parliament?,"By-election              Date             Incumbent        Party                            Winner   Party                                                            Cause Retained
  Stanstead  January 22, 1908          Henry Lovell      Liberal              Charles Henry Lovell Liberal                                                            Death      Yes
Huron South  January 22, 1908      Benjamin B. Gunn Conservative                Murdo Young McLean Liberal                                                            Death       No
    Nicolet December 30, 1907 Charles Ramsay Devlin      Liberal Gustave-Adolphe-Narcisse Turcotte Liberal Resignation upon appointment to the provincial cabinet of Quebec      Yes",SKIPPED: The Liberal Party had the most members in the 10th Canadian Parliament.,Liberal,correct
how many different people were reserves before tom hart?,"Year Seniors (Trood Award & Rodda Medal)    Reserves (Rex Hartley Medal) Under 18's (Bruce Wilkinson Medal) Under 16's (Shaw/Carter Medal)
1954         Bob Mason (Sale) (20 Votes)         Rex Donnelly (Moe) (19)                                                                  
1955               Bob Mason (Sale) (23)       Ron Hayes (Warragul) (20)                                                                  
1956        Noel Alford (Traralgon) (18) ""Mossy"" Morgan (Trafalgar) (33)                                                                  ","SKIPPED: Tom Hart first appears as the Reserves (Rex Hartley Medal) winner in 1958.  
Looking at the winners for the Reserves award in the years before 1958 (1954–1957) we find:

• 1954 – Rex Donnelly  
• 1955...",3,correct
what was the highest amount of penalty points?,"Rank                  Athlete  Ski time Penalties\nP+S+P+S     Total
             Zhang Qing (CHN)   59:53.2            1+1+0+1 1:02:53.2
     Dmitriy Pozdnyakov (KAZ) 1:01:01.0            0+2+0+0 1:03:01.0
         Dmitriy Pantov (KAZ)   59:24.8            1+2+0+1 1:03:24.8","SKIPPED: By examining the “Penalties P+S+P+S” column and adding the four numbers in each row, the largest total is 4 + 5 + 2 + 2 = 13.  

So, the highest amount of penalty points is 13.",Byamba Enkh-Amgalan (MGL),wrong
what is the total number of publications?,"   Publication     Score Review
       1up.com         B      →
Weekly Famitsu  36 of 40  print
   GamePro.com 6.5 of 10      →",SKIPPED: There are 9 publications in total.,9,correct
how many players scored at least 30 goals?,"          Name                     Full name Caps Goals         First cap      Opponent           Club
          Cafu  Marcos Evangelista de Moraes  142     5 12 September 1990         Spain      São Paulo
Roberto Carlos Roberto Carlos da Silva Rocha  125    11  26 February 1992 United States União São João
       Ronaldo  Ronaldo Luís Nazário de Lima   98    62     23 March 1994     Argentina       Cruzeiro",SKIPPED: 2,2,correct
what tribunal had the most executions in effigie?,"         Tribunal Number of autos da fe Executions in persona Executions in effigie Penanced Total
        Barcelona                     8                     1                     1       15    17
          Logroño                     1                     1                     0       0?    1?
Palma de Mallorca                     3                     0                     0       11    11","ERROR: Error processing sample: Recursion limit of 15 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT",Granada,wrong
how many half marathons did krisztina papp win?,"Year       Men's winner Time (h:m:s)          Women's winner Time (h:m:s) Finishers
1996 Zoltán Káldy (HUN)      1:04:45     Simona Staicu (HUN)      1:11:11      1768
1997 Keita Fujino (JPN)      1:03:14      Sachie Ozaki (JPN)      1:11:04      2535
1998 Seiji Hamada (JPN)      1:02:44 Kazumi Kanbayashi (JPN)      1:10:37      2703","SKIPPED: Krisztina Papp’s name appears as the women’s winner in 2007, 2009, 2010, 2012 and 2013 – a total of 5 times.",5,correct
what is the higher number of meters listed in the notes section of the table?,"Year                                  Competition                          Venue Position   Notes
1983                           Pan American Games             Caracas, Venezuela      2nd 78.34 m
1985 Central American and Caribbean Championships                Nassau, Bahamas      2nd 76.88 m
1986         Central American and Caribbean Games Santiago de los Caballeros, DR      1st 77.32 m",SKIPPED: The highest distance mentioned in the “Notes” column is 80.84 m.,80.84 m,correct
how many lower yazoo phases are there?,"                                                                                                       Lower Mississippi Periods Lower Yazoo Phases Lower Yazoo\nDates  Tensas/Natchez Phases  Cahokia Phases               Cahokia Dates Ohio/Miss. River\nConfluence Phases Ohio/Miss. Dates
                                                                                                                        Historic            Russell       1650–1750 CE       Tensas / Natchez Vacant\nQuarter 1350 CE -\nEuropean Contact                             Jackson     1500-1650 CE
Plaquemine Mississippian culture\nLate Plaquemine/Mississippian\nMiddle Plaquemine/Mississippian\nEarly Plaquemine/Mississippian          Wasp Lake       1400-1650 CE Transylvania / Emerald Vacant\nQuarter 1350 CE -\nEuropean Contact                             Jackson     1500-1650 CE
Plaquemine Mississippian culture\nLate Plaquemine/Mississippian\nMiddle Plaquemine/Mississippian\nEarly Plaquemine/Mississippian        Lake George       1300-1400 CE      Fitzhugh / Foster    Sand Prairie                1275-1350 CE                        Medley Phase     1300-1500 CE",SKIPPED: There are 14 distinct Lower Yazoo phases in the table.,14,correct
how many times did they place 1st after 2008?,"Year                                                Competition                 Venue Position Event       Notes
2002 Central American and Caribbean Junior Championships (U-17)  Bridgetown, Barbados      1st  5 km 21:24.33 CR
2004 Central American and Caribbean Junior Championships (U-20) Coatzacoalcos, México      1st 10 km    43:21.99
2004                                 World Junior Championships       Grosseto, Italy      4th 10 km    41:01.64",SKIPPED: They placed 1st exactly 1 time after 2008.,1,correct
were drops 4-6 released on xbox 360 after they were released on playstation 3?,"Drop(s)  Multiplayer Map(s)    Spec Ops Mission(s) Face Off Map(s) Xbox 360 release date PlayStation 3 release date
    1-2 Liberation & Piazza                   None            None       24 January 2012           28 February 2012
      3           Overwatch                   None            None      21 February 2012              29 March 2012
    4-6           Black Box Black Ice & Negotiator            None         13 March 2012              12 April 2012","SKIPPED: No. Drop 4-6 came to Xbox 360 first (13 March 2012) and only later to PlayStation 3 (12 April 2012), so the Xbox 360 release was before—not after—the PS3 release.",No,correct
in how many games did the red raiders score at least 20 points?,"        Date     Time       Opponent#                           Site TV  Result Attendance
 September 4  7:00 PM        Pacific*    Jones Stadium • Lubbock, TX     W 55-7     29,164
September 11  1:00 PM at #9 Nebraska* Memorial Stadium • Lincoln, NE    L 27-50     75,771
September 18 12:00 PM     at Georgia*   Sanford Stadium • Athens, GA    L 11-17     74,511",SKIPPED: The Red Raiders scored 20 or more points in 9 games.,9,correct
which margin of victory was the largest?,"No.         Date                 Tournament         Winning score Margin\nof victory               Runner(s)-up
  1 May 27, 1956     Dallas Centennial Open −12 (64-67-70-67=268)           1 stroke Dow Finsterwald, Doug Ford
  2 Feb 21, 1960   Tucson Open Invitational  −9 (67-67-68-69=271)          3 strokes                 Bob Harris
  3  Jul 9, 1961 St. Paul Open Invitational −19 (66-71-68-64=269)           1 stroke               Buster Cupit",SKIPPED: The largest recorded margin of victory in the table is 11 strokes.,11 strokes,correct
what is the english dubbed title of the first episode to air in english in october of 1995?,"No. Dub No.                                                                                     English dubbed title / English subbed title\nOriginal Japanese title Original air date   English air date
  1       1                            ""A Moon Star Is Born"" / ""Crybaby Usagi's Magnificent Transformation""\n""Nakimushi Usagi no karei naru henshin"" (泣き虫うさぎの華麗なる変身)     March 7, 1992 September 11, 1995
  2      --                              ""Punish Them! The House of Fortune is the Monster Mansion""\n""Oshioki yo! Uranai house wa yōma no yakata"" (おしおきよ!占いハウスは妖魔の館)    March 14, 1992                N/A
  3       2 ""Talk Radio"" / ""Mysterious Sleeping Illness, Protect the Girls' Hearts in Love""\n""Nazo no nemuribyō, mamore otome no koisuru kokoro"" (謎のねむり病, 守れ乙女の恋する心)    March 21, 1992 September 12, 1995","SKIPPED: ERROR: Workflow failed: Recursion limit of 15 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://pyth...","""Who Is That Masked Man?"" / ""Usagi is Thrilled! Tuxedo Mask's Love Letter""",wrong
"how long did the broadcast last in spain, from what date to what date?","  Country      Alternante title          TV Network(s) Series premiere      Series finale
   Mexico La Fuerza del Destino Canal de las Estrellas  March 14, 2011      July 31, 2011
 Colombia La Fuerza del Destino                 RCN TV     May 2, 2011 September 20, 2011
Venezuela La Fuerza del Destino             Venevision     May 5, 2011 September 20, 2011","SKIPPED: In Spain, the broadcast ran from 21 September 2011 until 25 January 2012.","September 21, 2011 to January 25, 2012",correct
which episodes were not directed by shelley jensen?,"No. in\nseries No. in\nseason                    Title    Directed by                    Written by  Original air date Production\ncode
           125              1 ""Burnin' Down the House"" Madeline Cripe Joel Madison & Adam Markowitz September 18, 1995            60101
           126              2              ""Get a Job"" Shelley Jensen                 Mort Scrivner September 25, 1995            60102
           127              3         ""Stress Related"" Shelley Jensen                 Larry Wilmore    October 2, 1995            60103","SKIPPED: The episodes that were NOT directed by Shelley Jensen are:

1. ""Burnin' Down the House""
2. ""Not I Barbecue""
3. ""I, Ooh, Baby, Baby""
4. ""The Butler's Son Did It""
5. ""I, Stank Hole in One""
6. ""I, Done"" ...","""Burnin' Down the House"", ""Not I Barbecue"", ""I, Ooh, Baby, Baby"", ""The Butler's Son Did It"", ""I, Stank Hole in One"", ""I, Done"" (Part 2)",correct
how many silver medalists did not have at least 2 silver medals listed?," Medal           Name     Sport           Event
Silver                Badminton      Men's team
Silver   Aparna Popat Badminton Women's singles
Silver Jitender Kumar    Boxing    Middleweight","SKIPPED: ERROR: Workflow failed: Recursion limit of 15 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://pyth...",4,wrong
how long was the axwell remix version?,"                    Version Length                      Album                           Remixed by Year                                                                                                                                     Comment
Single Version / Radio Edit   3:39 Go – The Very Best of Moby MHC aka Philip Larsen and Chis Smith 2006 Remixed version with dance sonorities, with English and French lyrics which alternate. This version is more rhythmic than the original one.
             Extended Remix   6:48                          — MHC aka Philip Larsen and Chis Smith 2006                                                                                                         Similar to the previous but longer.
               Axwell Remix   7:24                          —                               Axwell 2006                                                                                                       Used in a scene in the 2008 movie 21.",SKIPPED: The Axwell Remix version is 7 minutes and 24 seconds long (7:24).,7:24,correct
who was the pick after moses malone?,"Round Pick         Player Pos.   Nationality                                  Team             ABA team Signing price
    1    1 Artis Gilmore^    C United States                         Chicago Bulls    Kentucky Colonels   $ 1,100,000
    1    2 Maurice Lucas*  F/C United States Portland Trail Blazers (from Atlanta)    Kentucky Colonels     $ 300,000
    1    3      Ron Boone  G/F United States                     Kansas City Kings Spirits of St. Louis     $ 250,000",SKIPPED: The pick selected immediately after Moses Malone was Randy Denton (Pick #6).,Randy Denton,wrong
how long was otto fritz meyerhof a research professor?,"Year            Laureate                                                          Relation               Category                                                                                                                       Rationale
1922 Otto Fritz Meyerhof          Research Professor in Physiological Chemistry, 1940–1951 Physiology or Medicine ""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""
1938        Richard Kuhn           Visiting Research Professor for Physiological chemistry Physiology or Medicine                                                                                      ""for his work on carotenoids and vitamins""
1955 Vincent du Vigneaud Assistant in Biochemistry, Graduate School of Medicine, 1924–1925              Chemistry                                    ""for his work on sulphur compounds, especially the first synthesis of a polypeptide hormone""","SKIPPED: Otto Fritz Meyerhof was a research professor for about 11 years, serving from 1940 through 1951.",11 years,wrong
what is the number of displacement tonnes for a rari class tugboat?,"        Class              Type                              Ships Displacement                                            Note
   Rari class Tug supply vessel                          A635 Revi 1,450 tonnes                                                
Malabar class   Ocean going tug          A664 Malabar\nA669 Tenace 1,440 tonnes Ice-breaking capabilities to 2 meters level ice
  UT507 class       Salvage Tug Abeille Flandre\nAbeille Languedoc 1,500 tonnes                                       Chartered","SKIPPED: The Rari-class tugboat has a displacement of 1,450 tonnes.","1,450 tonnes",wrong
"in the 197172 national hurling league, who is the only single player ranked in the top 10 from laois?","Rank           Player County Tally Total Opposition
   1     Éamonn Flynn Dublin   3-5    14    Wexford
   1 Charlie McCarthy   Cork   2-8    14     Galway
   3       Paddy Fahy Galway   2-7    13    Kildare",SKIPPED: Ger Cuddy,Ger Cuddy,wrong
how many v6 engines are on this list?,"                   Entrant Constructor Chassis             Engine Tyre             Driver    Rounds
Scuderia Ferrari SpA SEFAC     Ferrari     156 Ferrari 178 1.5 V6    D          Phil Hill  1–3, 5–7
Scuderia Ferrari SpA SEFAC     Ferrari     156 Ferrari 178 1.5 V6    D Giancarlo Baghetti 1, 3, 6–7
Scuderia Ferrari SpA SEFAC     Ferrari     156 Ferrari 178 1.5 V6    D  Ricardo Rodríguez  1–3, 6–7",SKIPPED: There are 5 V6 engine entries in the list.,1,wrong
who has the least number of years until their mandatory retirement?,"                    Name              Rank Age Years until mandatory retirement        Appointed by Year appointed
      Anabelle Rodríguez Associate Justice  64                          6 years Sila María Calderón           2004
   Edgardo Rivera Garcia Associate Justice  59                         11 years        Luis Fortuño           2010
Erick Kolthoff Caraballo Associate Justice  53                         17 years        Luis Fortuño           2009",Justice Federico Hernández Denton has the least time left until mandatory retirement—0 years remaining.,Federico Hernández Denton,wrong
in which year was only top ten ranking in monetary earnings recorded?,"Year Majors ATP wins Total wins Earnings (US$) Money list rank
2002      0        0          0        101,122             165
2003      0        0          0        277,743              79
2004      0        0          0        579,375              38",SKIPPED: The only year in which a top-ten ranking on the money list was recorded is 2006 (ranked 9th in earnings).,2006,wrong
"what ship's tonnage is at most 70,000?","           Ship Built In service for Cunard    Type    Tonnage                                                       Notes
     Queen Mary  1936             1936–1967 express 80,750 GRT         Blue Riband, sold 1967, now a stationary hotel ship
     Mauretania  1939             1939–1965 express 37,750 GRT                                               scrapped 1965
Queen Elizabeth  1940             1946–1968 express 83,650 GRT WWII troopship 1940–1945, sold 1968, destroyed by fire 1972","SKIPPED: Ships whose tonnage is at most 70,000 are:

• Mauretania  
• Media  
• Parthia  
• Caronia  
• Britannic  
• Georgic  
• Saxonia  
• Carmania  
• Ivernia  
• Franconia  
• Carinthia  
• Sylvania  
• A...",Queen Elizabeth 2,wrong
